primary,query,provider,locale,latitude,longitude,bounds_south,bounds_east,bounds_west,bounds_north,streetNumber,streetName,city,zipcode,cityDistrict,county,countyCode,region,regionCode,country,countryCode,timezone,exceptionMessage
81077fa3c9ec677875ac7c2c8632098e,"Hlubčická 294/9, Krnov, 79401",nominatim,en,50.0921275,17.7091588,50.0920775,17.7092088,17.7091088,50.0921775,294/9,Hlubčická,Krnov,79401,Krnov-Horní Předměstí,okres Bruntál,,Moravia-Silesia,,Czechia,CZ,,
b8ab33c1f646840b25960dd14c31962e,"Kamenná 184/11, Brno, 63900",nominatim,en,49.1841782,16.59378,49.1841282,16.59383,16.59373,49.1842282,184/11,Kamenná,Brno,63900,Štýřice,okres Brno-město,,Southeast,,Czechia,CZ,,
174e81dcc766d8a9bdc5b67676bc3c3c,"Masarykovo nám. 6/5, Karviná, 733 01",nominatim,en,49.854175,18.54089,49.854125,18.54094,18.54084,49.854225,6/5,Masarykovo nám.,Karviná,73301,Karviná-město,okres Karviná,,Moravia-Silesia,,Czechia,CZ,,
9c4ddcfbad6dafceb89a784019154b00,"Třanovského 1758/10, Český Těšín, 737 01",nominatim,en,49.7498438,18.6241838,49.7497938,18.6242338,18.6241338,49.7498938,1758/10,Třanovského,Český Těšín,73701,Český Těšín,okres Karviná,,Moravia-Silesia,,Czechia,CZ,,
211a34ad77b4173f71d95f7eb4e00ed3,"Štramberská 2871/47, Hulváky, 70300",nominatim,en,49.816245,18.2567972,49.816195,18.2568472,18.2567472,49.816295,2871/47,Štramberská,Ostrava,70300,Zábřeh-VŽ,okres Ostrava-město,,Moravia-Silesia,,Czech Republic,CZ,,
c80de89e4714deac8213e99f06304537,"Atriová 1297/5, Havířov - Město, 736 01",nominatim,en,49.7880413,18.4181938,49.7879913,18.4182438,18.4181438,49.7880913,1297/5,Atriová,Havířov,73601,Havířov-město,okres Karviná,,Moravia-Silesia,,Czechia,CZ,,
c99c1d6bec385540de687f067ff906a5,"Uzbecká 572/32, Bohunice, 625 00",nominatim,en,49.171648,16.5812133,49.171598,16.5812633,16.5811633,49.171698,572/32,Uzbecká,Brno,62500,Bohunice,okres Brno-město,,Southeast,,Czechia,CZ,,
980c615a4b157efacb6188b08da58a39,"Dolní 165/1, 59101, Žďár nad Sázavou",nominatim,en,49.5658359,15.9401911,49.5657859,15.9402411,15.9401411,49.5658859,165/1,Dolní,Žďár nad Sázavou,59101,Město Žďár,okres Žďár nad Sázavou,,Southeast,,Czechia,CZ,,
0f1b17b8c1f88df88945b67a6d4d2552,"Čechova 164/1, České Budějovice 6, 370 01 ",nominatim,en,48.9710973,14.482034,48.9710473,14.482084,14.481984,48.9711473,164/1,Čechova,České Budějovice,37001,České Budějovice 6,okres České Budějovice,,Southwest,,Czechia,CZ,,
2e63acb0bf26bab7bf43e2bcb1195dc4,Střední novosadská 356/52 779 00 Olomouc,nominatim,en,49.5718446,17.2591638,49.5717946,17.2592138,17.2591138,49.5718946,356/52,Střední novosadská,Olomouc,77900,Nové Sady u Olomouce,okres Olomouc,,Central Moravia,,Czechia,CZ,,
bd25b8f4226f533f727e640c75412a70,"Rodinná 2719/57, Ostrava-Jih, Zábřeh, 700 30 ",nominatim,en,49.7969279,18.2506462,49.7968779,18.2506962,18.2505962,49.7969779,2719/57,Rodinná,Ostrava,70030,Zábřeh nad Odrou,okres Ostrava-město,,Moravia-Silesia,,Czechia,CZ,,
28a5da7e7c572dda18a15e5a5d76eb3e,"Klimentská 1203/2, Praha, 11000",nominatim,en,50.0914509,14.4281422,50.0914009,14.4281922,14.4280922,50.0915009,1203/2,Klimentská,Prague,11000,New Town,okres Hlavní město Praha,,Prague,,Czechia,CZ,,
29274008f1c46f0d02226b3491372bc4,"Kamenná 656/40, Cheb, 350 02 ",nominatim,en,50.0820372,12.3697965,50.0819872,12.3698465,12.3697465,50.0820872,656/40,Kamenná,Cheb,35002,Cheb,Cheb District,,Northwest,,Czechia,CZ,,
1f3ab76941d82106921e99e2182cebb7,"Chlumská 453, Louky, 763 02",nominatim,en,49.2195462,17.6134279,49.2194962,17.6134779,17.6133779,49.2195962,453,Chlumská,Zlín,76302,Louky nad Dřevnicí,okres Zlín,,Central Moravia,,Czechia,CZ,,
fe4a064b3fd8b92fe43b9c43a68102ab,"Bělehradská 389, Pardubice, 53009",nominatim,en,50.0470104,15.7594834,50.0469604,15.7595334,15.7594334,50.0470604,389,Bělehradská,Pardubice,53009,Pardubice,okres Pardubice,,Northeast,,Czechia,CZ,,
df9a61e9ff05edd201676bf2f0c2b301,"Římská 2846, Kladno, 272 04",nominatim,en,50.1423797,14.0762511,50.142298,14.0785895,14.0731849,50.1424871,,Římská,Kladno,27204,Kladno,okres Kladno,,Central Bohemia,,Czechia,CZ,,
4c29ba515baaa42b1e50ba33a30ced99,"Štefánikova 549/27, Moravské Předměstí, 50011 ",nominatim,en,50.1840964,15.8376909,50.1840464,15.8377409,15.8376409,50.1841464,549/27,,Hradec Králové,50011,Třebeš,okres Hradec Králové,,Northeast,,Czechia,CZ,,
47e22dc42704f6ce129b481bba133d0a,"Helsinská 2731, Tábor, 390 05",nominatim,en,49.387729,14.6886787,49.387679,14.6887287,14.6886287,49.387779,2731/1,Helsinská,Sezimovo Ústí,39005,Sezimovo Ústí,okres Tábor,,Southwest,,Czechia,CZ,,
